"Sample"	"Compound"	"Detector"	"Area"	"Concentration"	"Description"
"A1"	"Acetate"	"RID-10A"	140.862916087802	5.35885592674749	NA
"A1"	"Acetate"	"SPD-20A 210nm"	298.26236095886	10.7299427696299	NA
"A1"	"Ethanol"	"RID-10A"	161.447088080028	8.4130296593284	NA
"A1"	"Lactate"	"RID-10A"	2444.19329258125	54.6318589682896	NA
"A1"	"Lactate"	"SPD-20A 210nm"	2598.94836582685	58.0145374683121	NA
"A1"	"Formate"	"RID-10A"	56.660597388167	3.64243076373601	NA
"A1"	"Formate"	"SPD-20A 210nm"	299.391057697343	8.58303622899914	NA
"A1"	"Glucose"	"RID-10A"	113.108277299251	0.542698514901216	NA
"A2"	"Acetate"	"RID-10A"	146.485923867741	5.58087374127535	NA
"A2"	"Acetate"	"SPD-20A 210nm"	324.913552087264	11.6732415832128	NA
"A2"	"Ethanol"	"RID-10A"	178.844462350659	9.43300861253153	NA
"A2"	"Lactate"	"RID-10A"	3202.12425395952	71.5871821143159	NA
"A2"	"Lactate"	"SPD-20A 210nm"	2704.72952642301	60.3544947637602	NA
"A2"	"Formate"	"RID-10A"	54.2248707974479	3.47775037709054	NA
"A2"	"Formate"	"SPD-20A 210nm"	333.176218014187	9.49266495580643	NA
"A2"	"Glucose"	"RID-10A"	139.322104751322	0.692265130070768	NA
"A3"	"Acetate"	"RID-10A"	148.133689913865	5.64593383557558	NA
"A3"	"Acetate"	"SPD-20A 210nm"	288.041668103108	10.3681890529432	NA
"A3"	"Ethanol"	"RID-10A"	349.82763684358	19.4574661324831	NA
"A3"	"Lactate"	"RID-10A"	2357.92629202565	52.7020197800359	NA
"A3"	"Lactate"	"SPD-20A 210nm"	1791.78224410089	40.1594274985724	NA
"A3"	"Formate"	"RID-10A"	71.5008530147301	4.6457860022969	NA
"A3"	"Formate"	"SPD-20A 210nm"	307.655865767104	8.8055572048151	NA
"A3"	"Glucose"	"RID-10A"	86.71738816338	0.392121649825549	NA
"A4"	"Acetate"	"RID-10A"	160.909263684357	6.1503622622948	NA
"A4"	"Acetate"	"SPD-20A 210nm"	324.120096538348	11.6451578223664	NA
"A4"	"Ethanol"	"RID-10A"	118.900803000839	5.91861213156314	NA
"A4"	"Lactate"	"RID-10A"	2969.44001111428	66.381910487392	NA
"A4"	"Lactate"	"SPD-20A 210nm"	2467.17318518899	55.0995732766286	NA
"A4"	"Formate"	"RID-10A"	49.5055140316785	3.15867289940229	NA
"A4"	"Formate"	"SPD-20A 210nm"	284.191687266548	8.17380969748129	NA
"A4"	"Glucose"	"RID-10A"	136.571582383997	0.676571644593265	NA
"A5"	"Acetate"	"RID-10A"	250.992616004445	9.70719692982025	NA
"A5"	"Acetate"	"SPD-20A 210nm"	408.855391215948	14.6442996825887	NA
"A5"	"Ethanol"	"RID-10A"	512.974934704096	29.0225193124107	NA
"A5"	"Lactate"	"RID-10A"	1243.72821339271	27.7768096559507	NA
"A5"	"Lactate"	"SPD-20A 210nm"	663.437404694275	15.1996073957244	NA
"A5"	"Formate"	"RID-10A"	79.2397318699656	5.16901449885258	NA
"A5"	"Formate"	"SPD-20A 210nm"	404.599420129251	11.4156570563363	NA
"A5"	"Glucose"	"RID-10A"	70.1242039455416	0.297446944161728	NA
